,Id,Thumbnail Default
6990,--ophJj8lXs,b'https://i.ytimg.com/vi/--ophJj8lXs/default.jpg'
7128,-Yfl9WNpJoA,b'https://i.ytimg.com/vi/-Yfl9WNpJoA/default.jpg'
7133,-mMBjH3f0NA,b'https://i.ytimg.com/vi/-mMBjH3f0NA/default.jpg'
7146,-Vck9KwRPaA,b'https://i.ytimg.com/vi/-Vck9KwRPaA/default.jpg'
7158,-cDrDCO6gco,b'https://i.ytimg.com/vi/-cDrDCO6gco/default.jpg'
7173,-LasY5kYeRo,b'https://i.ytimg.com/vi/-LasY5kYeRo/default.jpg'
7194,-clvFpRWBq4,b'https://i.ytimg.com/vi/-clvFpRWBq4/default.jpg'
7278,-Bc3zfOslaA,b'https://i.ytimg.com/vi/-Bc3zfOslaA/default.jpg'
7286,-T-fylk_A6s,b'https://i.ytimg.com/vi/-T-fylk_A6s/default.jpg'
7341,-Zy-lGrSkog,b'https://i.ytimg.com/vi/-Zy-lGrSkog/default.jpg'
7368,-g9FuTtfTLY,b'https://i.ytimg.com/vi/-g9FuTtfTLY/default.jpg'
7480,-FaTmi3oKnI,b'https://i.ytimg.com/vi/-FaTmi3oKnI/default.jpg'
7482,-GBmlgg_KzE,b'https://i.ytimg.com/vi/-GBmlgg_KzE/default.jpg'
7567,-mLUJ1EflFQ,b'https://i.ytimg.com/vi/-mLUJ1EflFQ/default.jpg'
7624,-tC-igs6vwo,b'https://i.ytimg.com/vi/-tC-igs6vwo/default.jpg'
7689,-aXRXD24mA4,b'https://i.ytimg.com/vi/-aXRXD24mA4/default.jpg'
7718,-UP27VXj6rs,b'https://i.ytimg.com/vi/-UP27VXj6rs/default.jpg'
7799,-NFVGfnrRw4,b'https://i.ytimg.com/vi/-NFVGfnrRw4/default.jpg'
7863,-bCMK-vT9Fo,b'https://i.ytimg.com/vi/-bCMK-vT9Fo/default.jpg'
7894,-U-jZXxI4l0,b'https://i.ytimg.com/vi/-U-jZXxI4l0/default.jpg'
7898,-U-jZXxI4l0,b'https://i.ytimg.com/vi/-U-jZXxI4l0/default.jpg'
7998,-NPRoIabZiA,b'https://i.ytimg.com/vi/-NPRoIabZiA/default.jpg'
8214,-OQhprfDWf0,b'https://i.ytimg.com/vi/-OQhprfDWf0/default.jpg'
8312,-UMLx1Vbtyk,b'https://i.ytimg.com/vi/-UMLx1Vbtyk/default.jpg'
8422,-B5A72hxpBQ,b'https://i.ytimg.com/vi/-B5A72hxpBQ/default.jpg'
8450,-wIoJkuCDME,b'https://i.ytimg.com/vi/-wIoJkuCDME/default.jpg'
8574,-lEEGQAVZuo,b'https://i.ytimg.com/vi/-lEEGQAVZuo/default.jpg'
8612,-B-TpiIKDzA,b'https://i.ytimg.com/vi/-B-TpiIKDzA/default.jpg'
8658,-amAX6MWf6k,b'https://i.ytimg.com/vi/-amAX6MWf6k/default.jpg'
8775,-wP3HQZ7uGI,b'https://i.ytimg.com/vi/-wP3HQZ7uGI/default.jpg'
8835,-w63dlLiZj4,b'https://i.ytimg.com/vi/-w63dlLiZj4/default.jpg'
8899,--WrvrK3d50,b'https://i.ytimg.com/vi/--WrvrK3d50/default.jpg'
8949,-pKQ5Qj_5dY,b'https://i.ytimg.com/vi/-pKQ5Qj_5dY/default.jpg'
8977,-txUl2KPliM,b'https://i.ytimg.com/vi/-txUl2KPliM/default.jpg'
9180,-w1LCME0MjQ,b'https://i.ytimg.com/vi/-w1LCME0MjQ/default.jpg'
9182,-zbuEa1ClfE,b'https://i.ytimg.com/vi/-zbuEa1ClfE/default.jpg'
9200,-CEEXw8Xqz0,b'https://i.ytimg.com/vi/-CEEXw8Xqz0/default.jpg'
9310,-gnijaydJ2g,b'https://i.ytimg.com/vi/-gnijaydJ2g/default.jpg'
9358,-KOKbkzKxjw,b'https://i.ytimg.com/vi/-KOKbkzKxjw/default.jpg'
9377,-NIQN3NDbmc,b'https://i.ytimg.com/vi/-NIQN3NDbmc/default.jpg'
9378,-eCWeVaBGYM,b'https://i.ytimg.com/vi/-eCWeVaBGYM/default.jpg'
9394,-RptuFl5PBI,b'https://i.ytimg.com/vi/-RptuFl5PBI/default.jpg'
9402,-dRvv-fQcTE,b'https://i.ytimg.com/vi/-dRvv-fQcTE/default.jpg'
9623,-bd2vhx3HKI,b'https://i.ytimg.com/vi/-bd2vhx3HKI/default.jpg'
