Id,nsfw_score
y0rzwqg4xdM,0.000355811
5LFs2wJAc4E,0.112126365
PLh5hnr_Y08,0.14230974
jytQZOdmqzs,0.462474048
m4x7rqyENvk,0.060031544
xYg5PB3rsB0,0.771166623
cG2rI4w4ATM,0.001785739
nnerf_KXQYY,0.18060711
AI-kz1x4BJo,0.653793871
onZC65nTa9w,0.04146396
POCYUY3H1RU,0.206572503
z1pDpXxlvSg,0.114499912
SdNwV984fuA,0.058777932
gJPGB30HyzY,0.079236954
_OWpQ5RiknM,0.018508542
Y8CxczWTgBo,0.12831223
_JkoYJagbpU,0.044076115
_wTx6CDqpQ8,0.018493956
wvp9t73IGT0,0.016196253
zcmEnrsS5Tg,0.011864658
f70IdIHhE3A,0.01798659
d_z2PmYJEKc,0.000559407
oaQFvr1IEOE,0.003509465
gIf7ln3WYLo,0.008250705
hEF20mYgWJQ,0.063641161
5UVVCG6yE6A,0.000107153
XznxEn3LHko,0.003092713
swm-vWx4DO4,0.000185987
V8K9Tp-0v9M,0.065556005
vyHMjNNdRvI,0.001896958
8HPQZ8jkeMQ,0.011979461
CQ_bczWfdlc,0.01061728
XLT7DSScRE4,0.023087759
PM51auZzpZA,0.122711413
2M98Agbxf04,0.317768157
MPW3Q27-BIo,0.074006893
hARQdEcDN4Q,0.361952275
orNwOxz0Nb0,0.450723022
v4SaSQOBB2I,0.891760767
Cia8TWWMQ28,0.213224739
etpSNJK9vC0,0.006756736
-8aLkuZZLu4,0.04273786
4sgkNpZVgHY,0.002141746
r9ko0JH5ioY,0.894202769
SoVhax_FX-I,0.016784994
fI6Ui8AUJKU,0.000364725
y5zUI8E41nk,0.002938037
EQ3Ts8Ze_WA,0.00356301
sQqokS9UGfc,0.005565131
TLkK9tnnvKI,0.002897059
FPo596xhax4,0.389127076
1sG9JyOWB0I,0.001380729
fk7zVY8eRMs,0.001973821
3a9-aMOaAaw,0.008222772
atk0RXvn4Yw,0.000139224
uHdtTR0JLr0,0.00871948
I1meZ8dzlQo,0.151534349
TFG1lx6Xskc,0.00501456
wK_BGk6-edQ,0.006546214
ZRXSLcjZa0U,0.010316063
uXTS7EUnIf4,0.411904961
G1EGB8yudGQ,0.252456158
ReBO975p_kQ,0.120551735
B16UVrYEJzY,0.882516205
KS3PqsfQGEU,0.256299436
dJJKobEus60,0.040272359
bs-Y6W36ZpU,0.07429152
OoL8HaE2GOM,0.009133876
ibxCx7GyKAY,0.219145641
eAujygUsxss,0.028839199
T-t8ECPf108,0.041972339
xN2dePv-6bI,0.046425089
OsxqCWMuh_c,0.018652257
UAJTm8zStAU,0.043019559
5ZiCVXnvonI,0.026008971
l7VfDVVxiMM,0.008671844
O1UZzYJmD1I,0.639866054
dGjD_BpELeY,0.074234419
2LSRKIJRLtA,0.701165259
9MJkQBhmPkM,0.053375185
1QnI8bzpMOQ,0.046240013
uuDWhqowBaQ,0.005327218
ivf1Sr4swe4,0.009899728
XbM3Zq-XOuw,0.002980012
SbBhoyElfAc,0.013504799
GEnDOvl7MKQ,0.149355367
gCEbVdR_3XY,0.00437455
wmR_eRq31X0,0.004017117
q5pJErzeVfg,0.292242765
3Wpk-K7TCXw,0.015821747
RP85w6g7jPU,0.015921716
NhNSieRDHcQ,0.079740748
9z8EJZl7hg8,0.022082305
RwAUUGS9d1I,0.001521685
9l2FkanPZB0,0.099501863
IHxSnL5n5KY,0.000562744
Pm929DbLLGU,0.000428042
KIsOC3AXpCg,0.003291388
5UUFNRDVSOM,0.015859829
hsw7hCQPJAY,0.001701514
drcUoVWTxPE,0.008124732
SvNTQfSbKZY,0.323898941
7rnvoL9GB-k,0.00654165
MV9zDkM-oZQ,0.016509004
ugfGUz2iwbQ,0.115123846
wLNK-y_kaDQ,0.003192054
4OLxrVUucuQ,0.003728164
lH7pwR1q46Q,0.921091855
yv3U9-aCJQM,0.777026236
S-1ROUvRm3w,0.005298154
P9OTr2Ag4lQ,0.012114855
m9_M0iy0ERU,0.878126681
XDMubP8zNNg,0.034497373
EF2soMeSt2c,0.009620273
wY4GlvjAeAc,0.408476263
sf7mQBzFua4,0.003354869
H8xS0751hfw,0.461376369
uHdkloKTvzE,0.000938182
DYxFHvQwVFM,0.229150608
VQPJXAiZZpo,0.015546924
sKB3WJAUZWo,0.085869722
z4KsxBRH_Wk,0.198166892
cFXxyvY5B-M,0.024806937
_mzGg5N44z8,0.091281347
xvqMucUqo38,0.138212696
0eFDY50cYvs,0.248514384
6pm2Pf6YfZg,0.035722233
dRo0GT54-jU,0.125503734
o9TL2o67sfQ,0.367428333
5oTMJGD_e1A,0.002163754
8cMDQdzypNc,0.003084388
S4saNCXy6F0,0.003462217
_Vp-Ye3gzxA,0.010642224
QUg39gqdzjY,0.025154732
7-LgxpiVFuU,0.57519114
g_FZaggk6dM,0.057532515
H9iCdsAOdHs,0.015092312
TsmGNzGc2KM,0.895969033
NsJyoHB9gsw,0.003271721
yjYvsr8x-T4,0.000125295
tLcfBmeccSA,0.001615201
D6ih2AWMjXY,0.03785703
Mj6QaGAUit0,0.037361119
yE13tE4dIBE,0.001704879
_QG5luVmyRA,0.21829468
oyDzwabGeyo,0.00622872
NCtBk49G2J4,0.13145943
oqHgQBwGUIE,0.584292352
aB_fckT-AHM,0.983113766
NIrInWQwQ5Q,0.037383232
v6BwXYhdM7I,0.000148765
JIEV8LolV3c,0.072011955
4D5ObTU9xvM,0.020038381
OOGLF1aLVYE,0.115119472
FJ6mTn6g6W8,0.00097133
ooduutGkWJ0,0.3634592
9F_L64V_umE,0.435694456
2VcVh3ZEOMA,0.036014352
pC41ZZToIYo,0.01159405
AQnnopCZxnY,0.021623207
YIaBwvevZKo,0.001012221
O5DW3-ZAqfs,0.001798663
J-BIeQmkNlo,0.007021743
hOqrHcnsb70,0.045571797
Dq8u7L3xgYA,0.101152249
MW8Ji5WZdb4,0.007139851
dwY4sD3foCM,0.147430092
4iQBwHLaBAE,0.008640632
YDkWlKoZ_V8,0.027932743
VwuYh2D9BGw,0.03979056
wFwkQJ9a35o,0.040314563
Zs1Tm0UHNoY,0.275624484
K5_5EcABRhk,0.009758352
_5fpwIf2Mr8,0.016465187
Wd-ebICWzzY,0.005737058
yO-9jaREJNA,0.146865964
oZI_pHFgqKw,0.011128087
esqhjNQqIaQ,0.019712253
i0OAJ_8ulNQ,0.099328019
xiag1Ji1PNU,0.152168795
P2QZadjOzGU,0.00904025
Nr-iGy-0IUk,0.079035565
emLMq1AqvY0,0.010544716
voB34ZkDzVs,0.005316914
WWTyicnNx_I,0.001980085
BhNZCQ-AT3s,0.006568103
Qj88q9HJ0D4,0.166962445
ZbAQ1F_rN7o,0.126714215
uSoquQ-ka7M,0.016642362
bISphHXVcrg,0.041780662
q8CdRVgvoxo,0.066526175
VZJz2vMbMVY,0.011019331
Zlq41gZYRXg,0.002973657
rUO33rv8GoI,0.10538011
AA7yzaT8CBM,0.030962048
KQhJkDG9RMA,0.000275794
1OYpDKBuFN8,0.0236129
E6gAluZPWNI,0.012012579
8pPxjnq-a8k,0.325421214
5RUrn_LbSeI,0.006852024
ZjuDw8Dw1Gk,0.026665116
No7qU5lV15o,0.32265678
ejbhaB_EKK0,0.006315923
Ve3KzSKaaN0,0.072423495
dhzA7zbxzD8,0.00065925
QJiI7G7_-2w,0.028089458
J4Hfl8gj_n4,0.008197604
xUrBlZoKCKk,0.444064766
F2nBRZ3EP2Y,0.178878173
CSCk5Ypzjgo,0.010747592
elxv2yQ1g5s,0.300023705
BnYlo0k-4M4,0.006703777
xE4oKFYOkbQ,0.732225716
5pKHzI8LVA4,0.141756371
r958VbReC5Y,0.002356161
1l1XD1nxkKU,0.033916473
e-JTIySnl6g,0.027603632
lt_5eP7cyAA,0.009591742
1sI7RhKqJjs,0.341407746
iZ6a7bcSBpU,0.023968421
76DfZgbIEcw,0.006122273
w2bMbq44rhM,0.024157032
jETauJmCOAY,0.003614658
VZ1_2J4pBQo,0.003227527
uf8ebsolLrQ,0.017559148
HH0-bduJFlI,0.01458763
3fy9WrZIonk,0.001525915
5pS3G5araLY,0.015805591
mhEaiCDKEUs,0.839395404
moU1hAvjJcc,0.017264802
3PrN_t1HdgU,0.004402401
MO_edK4CptQ,0.035616949
Ww02nMmEOA4,0.00043417
yKjyO6NzsGU,0.004359602
cglAldBnt78,0.013622955
n3Q2_2dJlek,0.11238344
M0Gc9ham0zM,0.020610105
UbTeoB9Wdl8,0.587839246
vED7ioHSAEk,0.260576844
C4uaTG0Znbo,0.188678309
djWf79XDc9U,0.01209568
FHExUjhAej4,0.00845691
AEKk39NQAiw,0.079425655
HRse4paZwWg,0.000134732
ggemZfHhqzo,0.01410041
zPo6_evNsr8,9.53E-05
lz-6rynu9lE,0.032039724
ZYSFEA0x6Ww,0.043327522
yHm9t7AAghc,0.425873786
cfOchKlXc-A,0.691540599
ZkCZ9kTEtss,0.424147546
lRVPWCqdcE0,0.001444863
NiuVV3K4K3c,0.003618713
WlU7Z-WxSmU,0.125737265
389Gt-n9HjE,0.029856928
reBuxFdaxes,0.012738038
A2TMPmpGw08,0.021612035
LUyrtgBz2ls,0.067533836
QXv8PllqhkE,0.201317281
v4DvHNIw3TI,0.002194195
THpOv9QCdJk,0.035783682
O3tkR2DZwLE,0.096599884
YNBSvSmmmog,0.012594446
cym5e79i9GM,0.18223618
LPhelPqcf-c,0.009059184
6r5AI6Be35A,0.151725113
FnzlIP2M-04,0.035509042
MaBXOjrQjsQ,0.00971531
HJkRtcE4_G8,0.094791509
hAEx3ZohyP4,0.050642561
gtz9bCptASs,0.192597821
-2VE0KrmQ4s,0.010831744
AjPMq2Boov8,0.209671825
VRCdVROD4r8,0.237696707
6BKDBQIEzvo,0.138715252
zzyEA_Bq4GU,0.067609906
x18oHf1Sg_s,0.003912779
XIcc2jicuII,0.018376328
bgyFCQ0QW80,0.045048956
DdIENhBz_ls,0.028205065
C_OHLiSXX7Q,0.01576128
cezAtFOOU-s,0.054363664
w0VXqbTI1qk,0.000218549
5iFkXT_O7Lo,0.014854219
xxHZtHila0o,0.041471791
h3oseFS8giw,0.018575594
9LFmCI-z6VQ,0.077804498
9t1fLZMJETk,0.022588369
N2u824S_2z4,0.000149809
QCJ16sK4Nvg,0.001335438
2gjdIAOe314,0.042524949
oDoegcuUBfk,0.330302685
PuB0XIO-O14,0.000540623
XuV_x3BW910,0.191330656
B8vSTzaDDNc,0.010003299
zW0dJsvfC4E,0.002503301
46zR92Bjr3s,0.004028657
VbRbfQxGyv4,0.000704403
RSv1Vvvz6kg,0.00420389
HmM-_jucexU,0.005976345
j_YhFMwpzow,0.003823223
uaYIXG4sSRk,0.279996097
8DzI9FFOFOw,0.558562994
jLmLO_R-wgE,0.730798423
nwqVji1Fufc,0.007360295
oo8WMxH1Ssk,0.000917413
uKMXDel2LYg,0.001467755
3iXz-nI515s,0.005447144
_uu148-9cNM,0.070886672
81IOnNRC1Hw,0.228021473
IHjiQYY1L_c,0.076413408
4FiO8nOCTjs,0.273782045
PxHFG1JEUyk,0.198517784
FKy3bk7h924,0.004497099
MTZnb3fp80I,0.002920884
jkmroBP-0Vg,0.084274687
w3VkvDbxd70,0.088417582
oOpwU8Ghra0,0.03383261
UezZ5rQOSjo,0.140659884
QJMiINYqfA8,0.002357239
C6qZbw72yT4,0.185114965
5GGcxRhtrmo,0.141410217
STJJavj6Rjo,0.274518818
GKmaU_7ZVHE,0.010649255
qxOInI4cZKI,0.009914025
iMQtYM4EeHs,0.066280529
M0xJQT3KKA8,0.872442305
LC5H7x_QRok,0.049446825
kmEFLoq8fBE,0.894240797
vMDGJjP9X6o,0.011565887
gYdPc9E1OiQ,0.001873272
-5SfNj0Q1es,0.00466983
od7QpDYgQ3w,0.040656857
YJF31XHCulI,0.006402581
ZvvBu2QF-7c,0.000229042
GKNmKMSnxOk,0.040494006
sFXwBbTY-BE,0.008126991
jbHT-WaHpVE,0.039462149
KNoALOF1Ygg,0.08296369
uzvYu_blfw4,0.000588226
Tl-tiaRwSzE,0.025986765
AZFGbDNnZcY,0.155460685
5uT7D3BAxE8,0.049980029
2ZGQ97fmmcM,0.004166628
jb-dapEwZCE,0.05968073
H3VmiU_BqZQ,0.244889081
soiQFJvAxxU,0.001284456
0F2znxeDT_Q,0.002745702
qaufA4jMiJo,0.128869414
KTFra25ZBxs,0.015972037
vujpE8HZAHs,0.000439959
b8XCYldKTJQ,0.712782204
wQrLAgQH8n0,0.18146117
cfrS5MKV6QI,0.238050625
zUdbfxh4ixw,0.002075151
ayMQSr6c6yc,0.000297702
6ga7UTS0f2g,0.000423331
Qer43uBW8l4,0.362707347
J10ywFcPRtk,0.010741738
pa5BuVbiwCY,0.005172751
FbguUWQiIZs,0.041014254
1foAIyO8w8Y,0.032288354
bD_1pqmpc7M,0.0103541
koKJ72806Rk,0.007272074
ELHScLgDmAY,0.043255255
4F4-E7p4ZR8,0.538739383
sLWP2S5vX18,0.241758838
DIODkdEZgDA,0.504061818
CLD7Ffsc-L4,0.008761492
KmFEo3GdDLw,0.183723912
JIKZFKx7av0,0.016093608
hhsDFOv0P6o,0.008638977
eiTTAoEVrFs,0.002415115
oyKEpLKIIOs,0.000736604
khGUjqkODBI,0.027914699
vpB6NL9P0Bc,0.007802308
xFWaLsM7lzs,0.009681542
KloofcSl7QY,0.007612387
Ac9fTWeI77c,0.031406529
0fQYeBeKpZo,0.010104791
Aqhz6EUEJmM,0.030019421
MsJwBL0pvnA,0.017820306
RRRjRR-ryjI,6.00E-05
jgS50s08Bak,0.7717942
