,LikeCount,DislikeCount,ViewCount,CommentCount,ContainsText,nsfw_score,Title-Clickbait,subscriberCount,channelVideoCount,channelViewCount,isSponsored,hasDiscount,is_english,is_Abs,is_Chest,is_Back,is_Legs,is_Arms,PublishedYear,ChannelAge
5687,310,2,5223,81,0,0.000540735782124,0.409496307,127439,343,16394879,0,0,1,0,0,0,0,0,2012,2011
5688,11,5,5218,6,0,0.0465910993516,0.042267613,1619,41,1399059,0,0,1,0,0,0,0,0,2009,2007
5689,2,3,5217,0,0,0.169127807021,0.692517042,20,10,20134,0,0,1,0,0,0,0,0,2012,2012
5690,13,1,5217,1,0,0.213000819087,0.455745876,5064,428,1739572,0,0,1,1,0,1,0,0,2012,2011
5691,9,2,5216,4,0,0.0209487546235,0.811164081,62,5,52366,0,0,1,1,0,0,0,0,2008,2008
5692,25,2,5215,7,0,0.849153220654,0.013420095,223,28,127523,0,0,1,0,0,0,0,0,2012,2009
5693,115,3,5215,15,0,0.0131534673274,0.513024986,26907,214,5111540,0,0,1,0,0,0,0,0,2014,2009
5694,23,0,5212,1,0,0.0363683402538,0.046661261,52595,11276,62101464,0,0,1,0,0,0,0,0,2013,2009
5695,179,1,5211,30,0,0.313254356384,0.21828039,0,1794,64354111,0,0,1,0,0,0,0,1,2014,2009
5696,12,1,5210,2,0,0.0854090005159,0.252573699,27897,2008,9387122,0,0,1,0,0,0,0,0,2008,2006
5697,15,1,5210,2,1,0.119390010834,0.501591742,881,163,918262,0,0,0,0,0,0,0,0,2012,2010
5698,233,1,5207,66,0,0.23975405097,0.070541963,21632,403,1761436,0,0,1,1,0,0,0,0,2013,2012
5699,6,4,5203,3,0,0.0154222715646,0.02889953,572,274,574581,0,0,1,0,0,0,0,0,2011,2007
5700,41,30,5203,54,0,0.00572740565985,0.61163044,359,74,54797,0,0,1,1,1,1,1,0,2015,2012
5701,19,2,5203,0,0,0.251029133797,0.017175237,209,13,53008,0,0,1,0,1,1,1,1,2014,2014
5702,13,1,5201,6,0,0.056695047766,0.956521332,5389,803,4562429,0,0,1,0,0,0,0,0,2010,2006
5703,51,38,5200,25,0,0.000952416739892,0.047946587,102673,1128,36785963,0,1,0,0,0,0,0,0,2014,2011
5704,49,2,5190,2,0,0.0822071582079,0.043131482,214,49,169849,0,0,1,0,0,0,0,0,2014,2013
5705,23,0,5188,0,0,0.428628385067,0.203066632,16563,751,5090924,0,0,0,0,0,0,0,0,2014,2010
5706,30,8,5186,2,0,0.013631128706,0.060472921,4,1,5204,0,0,0,0,0,0,0,0,2012,2011
5707,42,0,5186,2,0,0.00635428773239,0.106073014,27446,396,6189407,0,0,0,0,0,0,0,0,2014,2009
5708,18,0,5185,7,0,0.165309146047,0.384985387,505,303,481084,0,0,1,0,0,0,0,0,2009,2007
5709,34,0,5182,4,0,0.223537772894,0.142433226,10337,562,4035036,0,0,1,0,1,0,0,0,2010,2009
5710,8,1,5182,1,0,0.0179774295539,0.799860537,0,4555,13887813,0,0,0,0,0,0,0,0,2013,2011
5711,4,1,5180,5,0,0.00296525564045,0.183616474,9,23,9287,0,0,1,0,0,0,0,0,2012,2012
5712,26,0,5177,5,0,0.0440950840712,0.77532661,10647,456,2287363,0,0,1,0,0,0,0,0,2011,2009
5713,24,1,5174,0,0,0.0588872842491,0.620687902,8,1,5192,0,0,0,0,0,0,0,0,2013,2013
5714,122,7,5169,14,0,0.829987704754,0.601563573,6145,74,650931,0,0,0,0,0,1,0,1,2015,2012
5715,23,1,5168,2,0,0.00332724722102,0.916435897,43541,249,17206848,0,0,0,0,0,0,0,0,2012,2011
5716,16,0,5168,0,0,0.0179920401424,0.309707075,264,21,82259,0,0,0,0,0,0,0,0,2014,2014
5717,4,4,5167,4,0,0.0216084346175,0.707304299,11980,1385,10851993,0,0,0,0,0,0,0,0,2012,2011
5718,58,3,5166,46,0,0.121716029942,0.583211601,11384,231,5049027,0,0,1,0,0,0,0,0,2013,2006
5719,77,2,5165,16,1,0.0114570343867,0.24512279,39876,241,4892688,0,0,1,0,0,0,0,0,2014,2007
5720,5,0,5165,0,0,0.0333703272045,0.81179893,386,127,1169418,0,0,0,0,0,0,0,0,2013,2008
5721,4,0,5164,0,0,0.0857504233718,0.754493475,2795,1826,761208,0,0,1,0,0,0,0,0,2010,2006
5722,14,1,5163,0,0,0.00497629260644,0.160174131,4663,2397,3820197,0,0,1,0,0,0,0,0,2014,2008
5723,7,2,5162,2,0,0.00026082797558,0.094969414,6,11,17804,0,0,1,0,0,0,0,0,2007,2006
5724,227,6,5161,58,0,0.933119773865,0.357967168,83640,668,15856125,0,0,1,1,1,0,0,1,2015,2006
5725,8,0,5157,0,0,0.0272644609213,0.751838088,76,10,22867,0,0,0,0,0,0,0,0,2010,2010
5726,3,0,5154,1,0,0.054455049336,0.802385926,68,38,52874,0,0,1,0,0,0,0,0,2010,2009
5727,9,0,5153,0,0,0.00616195937619,0.039890151,1210,145,528698,0,0,1,0,0,0,1,0,2014,2009
5728,24,0,5153,1,0,0.022953171283,0.439508706,224,37,67965,0,0,1,0,0,0,0,0,2012,2012
5729,22,0,5153,3,0,0.395759820938,0.316690534,15074,1140,2233745,0,0,1,0,0,0,0,0,2011,2011
5730,24,0,5149,5,0,0.0880807116628,0.031392794,41525,1075,20604043,0,0,1,0,1,0,0,0,2012,2006
5731,22,0,5149,0,0,0.218969032168,0.180552498,285,24,302263,0,0,1,0,0,1,0,0,2013,2009
5732,25,1,5149,0,0,0.0430438891053,0.174801603,16942,3125,16980601,0,0,1,0,0,0,0,0,2014,2006
5733,34,2,5142,4,0,0.369310170412,0.479524881,4077,122,785832,0,0,1,0,0,0,0,0,2013,2009
5734,7,0,5138,1,0,0.0461708568037,0.212325007,187,147,196890,0,0,1,0,0,0,0,0,2010,2007
5735,22,0,5137,2,0,0.00116965186317,0.681448817,9380,321,2499077,0,0,1,0,0,0,0,0,2010,2006
5736,31,0,5137,1,0,0.179653406143,0.13784869,227,39,165366,0,0,1,0,0,0,1,1,2014,2012
5737,64,74,5136,42,0,0.715142667294,0.366544098,17648,916,8893109,0,0,0,0,0,1,0,0,2012,2007
5738,6,1,5134,4,0,0.0013213212369,0.187928244,8391,551,4685475,0,0,1,0,0,0,0,0,2009,2009
5739,42,3,5133,2,0,0.901645839214,0.944295347,0,27,186041,0,1,0,1,0,0,0,0,2015,2011
5740,19,1,5132,1,0,0.118779681623,0.114968985,20957,732,6398170,0,0,1,0,0,0,1,0,2010,2008
5741,14,0,5130,2,0,0.00894482526928,0.126181573,918,72,191326,0,0,1,0,0,0,1,0,2010,2010
5742,12,0,5129,2,0,0.231239080429,0.457455516,0,84,75832,0,0,0,0,0,0,0,0,2013,2010
5743,4,1,5125,3,0,0.186931908131,0.988551736,4,25,10219,0,0,0,0,0,0,0,0,2006,2006
5744,8,0,5124,1,0,0.154458627105,0.097468473,14573,220,3223658,0,0,0,0,0,0,0,0,2008,2006
5745,5,5,5124,0,0,0.0938148871064,0.414019942,10,4,20520,0,0,0,0,0,0,0,0,2011,2011
5746,15,1,5123,0,0,0.0500987768173,0.352981478,267,115,546596,0,0,1,0,0,1,1,1,2010,2006
5747,175,15,5116,8,0,0.0122082075104,0.089465588,26243,534,3409618,0,0,0,0,0,0,0,0,2015,2007
5748,167,10,5116,15,0,0.457101851702,0.89381361,6145,74,650931,0,0,0,0,1,0,0,0,2014,2012
5749,20,0,5112,0,0,0.000261377892457,0.154360503,794,56,129586,0,0,0,0,0,0,0,0,2012,2011
5750,0,1,5112,1,0,0.00367934070528,0.881363869,237,49,516154,0,0,0,0,0,0,0,0,2010,2008
5751,12,2,5104,4,0,0.0283933542669,0.146365032,2027,1256,3551963,0,0,0,0,0,0,0,0,2012,2006
5752,97,4,5103,2,0,0.136847525835,0.073235087,373718,972,33828351,0,0,1,0,0,0,1,0,2014,2011
5753,14,0,5101,1,0,0.0134965870529,0.029496493,3835,167,1890787,0,0,1,0,0,0,0,0,2011,2009
5754,110,0,5101,11,0,0.0320294462144,0.052477464,11107,230,1892355,0,0,1,1,0,1,0,0,2014,2011
5755,332,4,5099,54,0,0.0374447442591,0.359405965,345851,4796,92661092,0,0,1,0,0,0,1,0,2013,2009
5756,25,0,5096,11,0,0.0904384329915,0.200313985,152573,900,43959226,0,0,1,0,0,0,0,0,2011,2008
5757,16,3,5090,19,0,0.0760469958186,0.027117996,105,21,132538,0,0,0,0,0,1,0,0,2012,2010
5758,14,0,5089,2,0,0.00422666780651,0.19975239,11736,269,1849380,0,0,1,0,1,0,0,0,2014,2013
5759,218,0,5087,9,0,0.00582080986351,0.968592227,45142,255,5733484,0,0,0,0,0,0,1,1,2013,2011
5760,40,0,5086,2,0,0.306160539389,0.185458422,1794,81,1947581,0,0,0,0,0,0,1,0,2012,2008
5761,24,4,5085,0,0,0.124851860106,0.283444166,292370,1967,145577378,0,0,0,0,0,0,0,0,2012,2008
5762,5,2,5085,2,0,0.0809115990996,0.449103653,11708,239,4469356,0,0,1,0,0,1,0,0,2009,2008
5763,130,2,5085,40,0,0.00334970699623,0.171886727,255369,61292,522303866,0,0,1,0,0,0,0,0,2014,2006
5764,4,0,5083,0,0,0.0445363819599,0.959151626,29,53,109493,0,0,0,0,0,0,0,0,2013,2013
5765,3,0,5080,1,0,0.0560256764293,0.242836639,4,4,8923,0,0,1,0,0,0,0,0,2008,2006
5766,25,1,5079,9,0,0.000413255242165,0.1951738,31791,348,4295347,0,0,0,0,0,0,0,0,2015,2013
5767,57,0,5078,4,0,0.0214513912797,0.254175633,91941,1264,29500337,0,0,1,0,0,0,0,0,2009,2006
5768,96,1,5078,15,0,0.0733719691634,0.231699526,39,2,15570,0,0,1,0,0,0,0,0,2014,2010
5769,1,2,5078,1,0,0.0160115435719,0.657955408,747,629,627151,0,0,1,0,0,0,0,0,2014,2010
5770,150,2,5076,25,0,0.00350326020271,0.06057189,8098,546,1385106,0,0,1,0,0,0,1,0,2014,2006
5771,28,0,5071,0,0,0.102948576212,0.118590914,45372,349,6061045,0,0,0,0,0,0,0,0,2014,2012
5772,51,0,5068,3,0,0.736924052238,0.322163612,778,24,84216,0,0,1,0,0,0,0,0,2014,2014
5773,17,0,5067,0,0,0.299134641886,0.522233248,1581,91,340898,0,0,1,0,0,0,0,0,2014,2012
5774,13,1,5066,2,0,0.076357960701,0.317231685,6692,568,1903334,0,0,1,0,1,0,0,0,2011,2009
